cell_id,district,latitude,longitude,spatial_block_id,slope_mean,elevation_mean,curvature_mean,twi_mean,terrain_susceptibility_score,terrain_susceptibility_class,pu_terrain_similarity,pu_similarity_class,primary_terrain_contributors,label_status,historical_event_id
KOH_00073,Kohima,25.622168,93.918462,BLK_KOH_R13_C20,15.796314,1789.815308,0.012504,6.186313,49.82,LOW,0.4398,MODERATE_TERRAIN_SIMILARITY,"Slope (40%), TWI (27%), Curvature (14%), Relief (19%)",UNKNOWN,
KOH_00074,Kohima,25.626658,93.918467,BLK_KOH_R13_C20,18.157722,1915.178711,-0.025098,6.615001,56.25,MODERATE,0.3043,LOW_TERRAIN_SIMILARITY,"Slope (36%), TWI (29%), Curvature (14%), Relief (21%)",UNKNOWN,
KOH_00075,Kohima,25.631173,93.918501,BLK_KOH_R14_C20,19.75618,2076.08374,-0.005943,6.038334,55.78,MODERATE,0.3342,LOW_TERRAIN_SIMILARITY,"Slope (41%), TWI (23%), Curvature (14%), Relief (22%)",UNKNOWN,
KOH_00076,Kohima,25.635687,93.918536,BLK_KOH_R14_C20,24.709427,2200.031738,0.306632,5.329475,60.97,MODERATE,0.1136,DISSIMILAR_TERRAIN,"Slope (61%), TWI (14%), Curvature (1%), Relief (24%)",UNKNOWN,
KOH_00077,Kohima,25.640202,93.91857,BLK_KOH_R14_C20,41.88649,2008.828979,0.126135,4.895613,70.26,HIGH,0.0433,DISSIMILAR_TERRAIN,"Slope (64%), TWI (8%), Curvature (7%), Relief (21%)",UNKNOWN,
KOH_00078,Kohima,25.644716,93.918605,BLK_KOH_R14_C20,42.083038,1662.017212,-0.235447,5.600616,82.8,HIGH,0.1044,DISSIMILAR_TERRAIN,"Slope (54%), TWI (12%), Curvature (15%), Relief (19%)",UNKNOWN,
KOH_00079,Kohima,25.649231,93.91864,BLK_KOH_R14_C20,33.495415,1369.380493,-0.349901,6.11757,84.8,HIGH,0.2873,LOW_TERRAIN_SIMILARITY,"Slope (49%), TWI (16%), Curvature (18%), Relief (17%)",UNKNOWN,
KOH_00080,Kohima,25.653746,93.918674,BLK_KOH_R14_C20,31.62491,1459.015625,-0.086537,5.721623,72.84,HIGH,0.6567,MODERATE_TERRAIN_SIMILARITY,"Slope (52%), TWI (15%), Curvature (13%), Relief (20%)",UNKNOWN,
KOH_00081,Kohima,25.65826,93.918709,BLK_KOH_R14_C20,31.986536,1504.748047,0.017974,5.526712,71.54,HIGH,0.4784,MODERATE_TERRAIN_SIMILARITY,"Slope (56%), TWI (13%), Curvature (10%), Relief (21%)",UNKNOWN,
KOH_00082,Kohima,25.662775,93.918743,BLK_KOH_R14_C20,34.727036,1527.72522,0.029752,5.435299,71.33,HIGH,0.4646,MODERATE_TERRAIN_SIMILARITY,"Slope (57%), TWI (13%), Curvature (10%), Relief (20%)",UNKNOWN,
KOH_00083,Kohima,25.667289,93.918778,BLK_KOH_R14_C20,32.612141,1640.646973,0.337108,4.946419,60.31,MODERATE,0.2546,LOW_TERRAIN_SIMILARITY,"Slope (65%), TWI (10%), Curvature (0%), Relief (25%)",UNKNOWN,
KOH_00084,Kohima,25.671804,93.918812,BLK_KOH_R14_C20,35.917694,1415.823242,0.214237,5.067936,68.12,MODERATE,0.2229,LOW_TERRAIN_SIMILARITY,"Slope (64%), TWI (10%), Curvature (4%), Relief (22%)",UNKNOWN,
KOH_00085,Kohima,25.676318,93.918847,BLK_KOH_R15_C20,36.252407,1011.667725,-0.341906,6.041585,87.76,VERY_HIGH,0.143,DISSIMILAR_TERRAIN,"Slope (51%), TWI (15%), Curvature (17%), Relief (17%)",UNKNOWN,
KOH_00086,Kohima,25.680833,93.918882,BLK_KOH_R15_C20,32.342613,953.445312,-0.317065,5.734166,81.55,HIGH,0.297,LOW_TERRAIN_SIMILARITY,"Slope (50%), TWI (13%), Curvature (18%), Relief (19%)",UNKNOWN,
KOH_00087,Kohima,25.685347,93.918916,BLK_KOH_R15_C20,31.487106,1028.379395,0.139892,5.201098,67.84,MODERATE,0.3342,LOW_TERRAIN_SIMILARITY,"Slope (60%), TWI (11%), Curvature (6%), Relief (23%)",UNKNOWN,
KOH_00088,Kohima,25.689862,93.918951,BLK_KOH_R15_C20,24.449636,901.013123,0.017202,5.675542,65.38,MODERATE,0.779,HIGH_TERRAIN_SIMILARITY,"Slope (50%), TWI (16%), Curvature (11%), Relief (23%)",UNKNOWN,
KOH_00089,Kohima,25.694376,93.918986,BLK_KOH_R15_C20,25.428972,849.70343,-0.135703,5.791252,67.21,MODERATE,0.7981,HIGH_TERRAIN_SIMILARITY,"Slope (45%), TWI (17%), Curvature (16%), Relief (22%)",UNKNOWN,
KOH_00090,Kohima,25.698891,93.91902,BLK_KOH_R15_C20,22.220415,901.658569,0.048137,5.531545,58.1,MODERATE,0.8459,HIGH_TERRAIN_SIMILARITY,"Slope (49%), TWI (16%), Curvature (11%), Relief (24%)",UNKNOWN,
