cell_id,district,exposure_status,nearest_road_distance_m,nearest_road_class,road_length_in_cell_m,nearest_hospital_distance_m,nearest_hospital_name,nearest_school_distance_m,nearest_school_name
AIZ_08711,Aizawl,AVAILABLE,1399.8,tertiary,0.0,17136.8,Sub-District Hospital;Saitual,30393.6,Ferrando
AIZ_08712,Aizawl,AVAILABLE,1099.3,tertiary,0.0,16637.3,Sub-District Hospital;Saitual,30027.0,Ferrando
AIZ_08713,Aizawl,AVAILABLE,924.2,tertiary,0.0,16137.9,Sub-District Hospital;Saitual,29664.2,Ferrando
AIZ_08714,Aizawl,AVAILABLE,821.4,tertiary,0.0,15638.4,Sub-District Hospital;Saitual,29305.5,Ferrando
AIZ_08715,Aizawl,AVAILABLE,553.2,tertiary,0.0,15139.0,Sub-District Hospital;Saitual,28951.0,Ferrando
AIZ_08716,Aizawl,AVAILABLE,551.0,tertiary,0.0,14639.7,Sub-District Hospital;Saitual,28600.8,Ferrando
AIZ_08717,Aizawl,AVAILABLE,182.5,tertiary,380.9,14140.4,Sub-District Hospital;Saitual,28255.1,Ferrando
AIZ_08718,Aizawl,AVAILABLE,12.6,tertiary,1915.6,13641.1,Sub-District Hospital;Saitual,27914.2,Ferrando
AIZ_08719,Aizawl,AVAILABLE,164.9,residential,1017.7,13141.9,Sub-District Hospital;Saitual,27578.0,Ferrando
AIZ_08720,Aizawl,AVAILABLE,428.7,tertiary,0.0,12642.8,Sub-District Hospital;Saitual,27246.9,Ferrando
AIZ_08721,Aizawl,AVAILABLE,290.3,tertiary,103.3,12143.7,Sub-District Hospital;Saitual,26921.0,Ferrando
AIZ_08722,Aizawl,AVAILABLE,122.2,tertiary,665.4,11644.7,Sub-District Hospital;Saitual,26600.5,Ferrando
AIZ_08723,Aizawl,AVAILABLE,502.4,tertiary,0.0,11145.8,Sub-District Hospital;Saitual,26285.6,Ferrando
AIZ_08724,Aizawl,AVAILABLE,519.9,track,0.0,10647.0,Sub-District Hospital;Saitual,25976.6,Ferrando
AIZ_08725,Aizawl,AVAILABLE,83.0,track,672.2,10148.3,Sub-District Hospital;Saitual,25673.5,Ferrando
AIZ_08726,Aizawl,AVAILABLE,46.5,track,1034.1,9649.8,Sub-District Hospital;Saitual,25376.7,Ferrando
AIZ_08727,Aizawl,AVAILABLE,143.6,track,1010.3,9151.4,Sub-District Hospital;Saitual,25086.3,Ferrando
AIZ_08728,Aizawl,AVAILABLE,174.3,tertiary,509.8,8653.2,Sub-District Hospital;Saitual,24802.6,Ferrando
AIZ_08729,Aizawl,AVAILABLE,590.2,tertiary,0.0,8155.2,Sub-District Hospital;Saitual,24525.8,Ferrando
AIZ_08730,Aizawl,AVAILABLE,1070.0,tertiary,0.0,7657.5,Sub-District Hospital;Saitual,24256.2,Ferrando
AIZ_08731,Aizawl,AVAILABLE,831.9,tertiary,0.0,7160.1,Sub-District Hospital;Saitual,23994.0,Ferrando
AIZ_08732,Aizawl,AVAILABLE,600.8,tertiary,0.0,6663.1,Sub-District Hospital;Saitual,23739.4,Ferrando
AIZ_08733,Aizawl,AVAILABLE,651.3,tertiary,0.0,6166.6,Sub-District Hospital;Saitual,23492.6,Ferrando
AIZ_08734,Aizawl,AVAILABLE,746.6,tertiary,0.0,5670.7,Sub-District Hospital;Saitual,23254.0,Ferrando
AIZ_08735,Aizawl,AVAILABLE,626.3,tertiary,0.0,5175.6,Sub-District Hospital;Saitual,23023.8,Ferrando
AIZ_08736,Aizawl,AVAILABLE,698.3,tertiary,0.0,4681.5,Sub-District Hospital;Saitual,22802.3,Ferrando
AIZ_08737,Aizawl,AVAILABLE,726.0,track,0.0,4188.8,Sub-District Hospital;Saitual,22589.6,Ferrando
AIZ_08738,Aizawl,AVAILABLE,228.7,track,108.6,3698.1,Sub-District Hospital;Saitual,22386.1,Ferrando
