area_id,area_name,cell_id,distance_to_cell_m,association_method,source
KOH_LOC_085,Dzuleke,KOH_00398,1554.55,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00399,1142.22,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00400,834.9,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00401,770.22,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00402,996.76,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00403,1377.58,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00404,1818.28,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00405,2284.38,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_042,Piphema,KOH_00425,2355.5,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_042,Piphema,KOH_00426,1867.42,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_042,Piphema,KOH_00427,1389.12,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_042,Piphema,KOH_00428,1005.58,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_042,Piphema,KOH_00429,824.92,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00442,2244.23,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00443,1849.46,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00444,1519.53,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00445,1304.24,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00446,1263.79,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00447,1413.37,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00448,1703.43,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00449,2076.11,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00450,2494.44,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_042,Piphema,KOH_00471,2055.51,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_042,Piphema,KOH_00472,1633.22,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_042,Piphema,KOH_00473,1270.51,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_042,Piphema,KOH_00474,1056.97,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_042,Piphema,KOH_00475,1151.06,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00491,2218.89,nearest_centroid_max_2500m,OpenStreetMap Overpass API
KOH_LOC_085,Dzuleke,KOH_00492,1952.34,nearest_centroid_max_2500m,OpenStreetMap Overpass API
